timestamp,tx,ty,tz,rx,ry,rz
1490994955652105597,12.187,-65.921,2.175,0.0,0.0,0.0
1490994955722683031,11.803,-66.325,2.166,0.0,0.0,0.0
1490994955823266978,11.418,-66.734,2.165,0.0,0.0,0.0
1490994955923862302,11.033,-67.145,2.161,0.0,0.0,0.0
1490994956024471108,10.643,-67.556,2.156,0.0,0.0,0.0
1490994956120834929,10.248,-67.966,2.157,0.0,0.0,0.0
1490994956222311883,9.85,-68.375,2.158,0.0,0.0,0.0
1490994956322873880,9.453,-68.785,2.154,0.0,0.0,0.0
1490994956423452532,9.061,-69.205,2.146,0.0,0.0,0.0
1490994956524482441,8.664,-69.628,2.138,0.0,0.0,0.0
1490994956650199967,8.265,-70.048,2.132,0.0,0.0,0.0
1490994956756124255,7.858,-70.454,2.122,0.0,0.0,0.0
1490994956821506242,7.453,-70.855,2.122,0.0,0.0,0.0
1490994956922087702,7.059,-71.264,2.116,0.0,0.0,0.0
1490994957022739015,6.672,-71.683,2.102,0.0,0.0,0.0
1490994957124256559,6.279,-72.1,2.093,0.0,0.0,0.0
1490994957234890149,5.874,-72.511,2.089,0.0,0.0,0.0
1490994957420853539,5.463,-72.913,2.087,0.0,0.0,0.0
1490994957667864608,5.051,-73.313,2.082,0.0,0.0,0.0
1490994957667864608,4.652,-73.72,2.083,0.0,0.0,0.0
1490994957667864608,4.261,-74.131,2.076,0.0,0.0,0.0
1490994957733625104,3.869,-74.545,2.061,0.0,0.0,0.0
1490994958056955903,3.464,-74.948,2.048,0.0,0.0,0.0
1490994958056955903,3.056,-75.348,2.039,0.0,0.0,0.0
1490994958056955903,2.658,-75.756,2.04,0.0,0.0,0.0
1490994958127348359,2.264,-76.16,2.036,0.0,0.0,0.0
1490994958253755068,1.87,-76.559,2.032,0.0,0.0,0.0
1490994958374524787,1.474,-76.953,2.021,0.0,0.0,0.0
1490994958431694380,1.077,-77.349,2.013,0.0,0.0,0.0
1490994958552405976,0.68,-77.745,2.007,0.0,0.0,0.0
